id,gender,age,country,housing,income,jobs,community,education,environment,civic engagement,health,life_satisfaction,safety,work_life_balance,comments
f63147ee-a8ac-4d5f-bca7-51671a1bd397,m,35-44,ARG,3,2,4,3,4,2,4,4,3,1,3,"Una sociedad con respeto, inclusion social  y equidad en el reparto de riqueza"
f7b142b7-4f08-4e08-88cf-2430c76c212a,f,35-44,COL,3,3,5,3,5,3,3,3,2,5,4,Seguridad
5c615314-71a0-44be-b86a-5a192e8f4db6,m,35-44,ARG,5,3,4,2,5,4,3,4,4,3,5,Poder desarrollarme intelectualmente y tener estabilidad económica
abe6fa36-ef69-420e-a429-77d5da919c34,m,15-24,ARG,4,4,4,2,4,2,3,4,5,1,4,
e8f2d973-c12d-4b96-94ca-07a25319b4d0,f,25-34,ARG,5,5,4,1,1,4,1,5,4,5,4,
6bd91e6f-be37-43b5-8a26-df396e8d0223,f,25-34,ARG,3,3,3,2,5,4,1,5,4,5,4,mejorar la calidad de vida de toda la sociedad para una satisfaccion de las necesidades basicas cubiertas para todos
39ccdc05-f9ee-447b-b1dd-138effa1546f,m,35-44,ARG,5,3,4,2,4,3,5,4,3,5,3,
03cfc27d-12ea-4a89-b36d-76b623f1a65f,m,25-34,ARG,5,5,5,2,5,3,3,5,5,5,3,
6841988e-395b-4c02-888a-81ef4f9a8713,f,25-34,ARG,4,2,4,2,4,5,3,4,3,3,3,"Tener una vivienda propia, salud y educación gratuita. "
f3675b77-437b-477b-82d1-43ae58b97abe,m,25-34,ARG,3,5,5,3,5,2,2,5,2,5,4,Poder darle facilidades a mi familia
be1c193e-98c6-44c0-9d45-6e26e48c4baf,m,35-44,ARG,5,5,5,3,5,4,4,5,4,5,5,"To have a good job, well paid. Work not more than 8 hours a day. To have access to health care, to have safecty and great education."
a47da404-37e3-4830-b322-5e86a02569c3,f,45-54,ARG,3,4,3,2,4,0,3,3,3,4,4,
866127e8-d519-4f7a-aa3c-1acef142f3b3,m,25-34,ARG,5,3,3,2,5,3,2,5,1,1,1,
88204b04-7cb2-4478-a98a-9948118fde21,f,15-24,ARG,3,5,5,3,5,5,3,4,5,5,3,"Buen trabajo y bien remunerado, buen sistema de educación y salud, seguridad"
2562e4d2-6166-4926-a319-2815f16e3e8a,f,15-24,ARG,3,5,5,3,4,4,3,4,2,4,3,
70359b8d-04e4-41fd-80da-3a6beca8adae,f,25-34,ARG,4,3,3,5,5,5,3,5,5,4,3,
be75a4a8-cc93-4925-8bb0-0116efd755fe,m,35-44,ARG,3,4,4,2,5,2,3,3,2,5,2,
